센터,수량,latitude,longitude
구좌119센터,2,33.52006749,126.860112
남원119센터,2,33.28148182,126.7084042
노형119센터,1,33.48102036,126.4722779
대신119센터,2,33.2495384,126.514155
대정119센터,1,33.23247156,126.2409219
동홍119센터,1,33.55415288,126.7627544
삼도119센터,1,33.51585122,126.5170847
성산119센터,2,33.46026272,126.909673
소방정책과,2,33.49052353,126.4989812
아라119센터,1,33.46796277,126.5657352
안덕119센터,1,33.25114389,126.3308073
애월119센터,1,33.46659798,126.3487479
연동119센터,1,33.48842653,126.4971156
영어교육도시119센터,1,33.27892001,126.2733343
오라119센터,1,33.49729611,126.5146804
외도119센터,1,33.48656548,126.437509
이도119센터,2,33.49110682,126.536502
조천119센터,1,33.54101083,126.6468494
중문119센터,1,33.25411606,126.4380909
표선119센터,2,33.32707907,126.8277411
한경119센터,1,33.34261947,126.1828694
한림119센터,2,33.40246441,126.2703618
항만119센터,2,33.51998762,126.5390686
현장대응과,3,33.24949336,126.514166
화북119센터,1,33.51937628,126.5735326
효돈119센터,1,33.26072004,126.6077789
