,filtered_address
남원읍,332
애월읍,304
대정읍,224
조천읍,207
노형동,198
한림읍,194
성산읍,191
안덕면,189
구좌읍,178
표선면,175
동홍동,148
서홍동,125
연동,106
한경면,105
이도이동,98
화북동,94
아라동,87
강정동,81
토평동,74
오라동,60
색달동,55
중문동,55
서귀동,52
도련일동,46
건입동,40
봉개동,39
영평동,38
삼양동,37
외도동,37
도두동,37
상예동,35
용담이동,35
상효동,32
용담일동,29
도남동,28
해안동,26
삼도이동,25
하효동,23
월평동,23
이호동,23
신효동,23
법환동,22
도순동,19
이도일동,19
하원동,19
일도이동,19
도련이동,18
일도일동,18
호근동,16
대포동,13
삼도일동,11
회천동,11
내도동,10
오등동,10
도평동,8
회수동,8
용강동,7
하예동,7
대륜동,7
보목동,7
용담삼동,6
유리읍,6
영남동,3
대천동,2
대정읍 대정읍,1
노형동 상가동,1
토형동,1
계명동,1
천지동,1
용운동,1
중앙동,1
월평동 상가동,1
광지동,1
예래동,1
표선면 동하동,1
건입동 하동,1
신풍리하동,1
유수암상동,1
한림읍 가동,1
서의동,1
